"tyear","Period","Agriculture","CropProduction","Livestock","Forestry","Fishing","Industry","MiningAndQuarrying","CrudePetroleumAndNaturalGas","SolidMinerals","CoalMining","MetalOres","QuarryingAndOtherMinerals","Manufacturing","ElectricityGasSteamAndAirCon","WaterSupplySewageWaste","Construction","Services","Trade","AccommodationAndFoodServices","Transport","InformationAndCommunication","Utilities","ArtsEntertainmentAndRecreation","FinanceAndInsurance","RealEstate","ProfessionalScientificAndTechnicalServices","AdministrativeAndSupportServicesBusinessServices","PublicAdministration","Education","HumanHealthAndSocialServices","OtherServices","TOTAL_GDP","TotalGDPatConstantBasicPrices","NonOilGDPatConstantBasicPrices","NetIndirectTaxesOnProducts","TotalGDPatConstantMarketPrices"
"1981","Annual","2364373.15","1854764.44","341411.5","77897.99","90299.23","6603250.12","","4977416.7","67136.73","","","","1558696.7","","","851561.61","3668438","1770381.46","53784.58","264512.65","263409.45","18393.65","4561.07","282170.74","1063959.81","421381.98","3234.81","807075.54","242555.85","110697.65","132700.2","15258004.34","","","","",
"1982","Annual","2425960.89","1897078.85","361115.7","73910.25","93856.08","6272828.03","","4453093.63","54840.5","","","","1764893.89","","","679200.42","3760134.76","1846954.23","50804.26","211891.35","281235.38","17174.34","4597.76","372267.76","1074049.33","423670.54","3252.38","825921.69","248219.81","113282.57","133767.58","14985078.32","","","","",
"1983","Annual","2409081.92","1842704.31","393131.01","75282.78","97963.82","5264881.39","","4052977.68","44014.84","","","","1167888.87","","","598782.27","3775196.35","1801783.24","42696.03","178322.31","278786.5","22263.13","4324.58","336896.5","1086703.98","481170.73","3693.79","844767.84","253883.77","115867.49","125819.69","13849725.17","","","","",
"1984","Annual","2303505.42","1759115.15","399685.38","76694.14","68010.74","5621181.44","","4559196.21","43078.37","","","","1018906.87","","","488143.29","3704124.78","1662300.57","35968.39","170279.79","253756.74","19310.83","3543.43","267287.62","1086931.99","518359.9","3979.28","863613.99","259547.73","118452.41","103092.67","13779255.49","","","","",
"1985","Annual","2731062.47","2180907.71","428102.85","78082.45","43969.46","6379599.38","","4918272.5","44539.09","","","","1416787.79","","","336270.79","3779001.01","1727979.4","33192.6","203571.16","202382.95","15498.05","3395.55","254993.44","1091378.22","602464.66","4624.92","882460.14","265211.69","121037.33","98790.3","14953913.05","","","","",
"1986","Annual","2986835.38","2427100.66","421627.97","86594.92","51511.83","6234407.31","","4825497.52","35247.69","","","","1373662.1","","","335758.58","3892215.95","1788770.07","33674.71","180153.29","202891.59","13521.65","3533.83","303107.42","1100909.11","650810.59","4996.06","901306.29","270875.65","123622.25","102813.51","15237987.29","","","","",
"1987","Annual","2891672.33","2329995.84","433433.52","87594.28","40648.69","6135330.33","","4704423.43","32805.99","","","","1398100.91","","","367003.84","3968983.99","1900938.6","34166.32","180220.12","204924.6","14428.83","3569.16","328771.54","1112486.41","658620.31","5056.01","920152.44","276539.61","126207.17","103841.48","15263929.11","","","","",
"1988","Annual","3174567.62","2581595.05","444269.94","88907.95","59794.67","6474984.23","","4828682.26","28047.35","","","","1618254.62","","","404395.72","4087626.1","2073797.26","34220.38","180520.22","206974.83","15884.24","3604.5","398174.24","1123077.56","665199.94","5106.52","938998.58","282203.57","128792.08","104869.45","16215370.93","","","","",
"1989","Annual","3325947.09","2710674.81","453155.59","67307.31","94809.39","7100757.71","","5407009.46","28658.81","","","","1665089.44","","","421214.38","4290007.77","2156748.99","34562.24","180955.41","210156.89","17258.02","3658.12","539660.77","1139870.62","675183.8","5183.16","957844.73","287867.53","131377","106429.47","17294675.94","","","","",
"1990","Annual","3464716.26","2828589.58","462218.99","72613.57","101294.12","8531586.58","","6831767.68","29085.34","","","","1670733.56","","","442274.21","4645604.76","2221451.35","34907.75","184574.49","214360.46","19364.32","3731.26","785397.02","1196554.34","688686.33","5286.82","976690.88","293531.49","133961.92","108557.67","19305633.16","","","","",
"1991","Annual","3590837.44","2955875.91","454823.21","74791.9","105346.41","8094631.17","","6224452.07","40843.65","","","","1829335.45","","","459966.2","4761087.05","2292538.47","35256.92","189855.95","217683.2","19910.44","3787.25","816813.34","1244151.79","699013.48","5366.09","987039.13","296641.52","135381.28","110186.65","19199060.32","","","","",
"1992","Annual","3674792.83","3044552.16","458916.79","76512.11","94811.77","8170469.68","","6381259.61","30604.35","","","","1758605.72","","","477904.06","4933417.51","2363606.26","35961.82","199200.21","229286.43","21457.39","4041.02","848163.28","1292347.78","719982.46","5527.07","1015430.73","305174.24","139275.44","117569.65","19620190.34","","","","",
"1993","Annual","3743665.81","3132843.73","461670.56","78042.4","71109.13","8122084.58","","6394602.56","20780.57","","","","1706701.44","","","501799","5125930.3","2434513.56","36500.91","205296.63","245077.08","22713.3","4445.14","879581.83","1346312.46","748789.76","5748.21","1044823.11","314007.73","143306.87","129327.27","19927993.25","","","","",
"1994","Annual","3839675.45","3226829.55","466287.56","80071.46","66486.88","7917396.42","","6229458.63","17213.58","","","","1670724.21","","","516853.08","5270211.2","2434987.29","36683.53","205592.73","255672.09","23602.94","5054.15","905503.88","1386533.73","774993.83","5949.37","1059736.86","318489.86","145352.42","147045.81","19979123.44","","","","",
"1995","Annual","3977381.94","3336541.36","485872.07","81832.93","73135.57","7985544.28","","6375970.58","17082.56","","","","1592491.14","","","530808.44","5422774.86","2436692.73","37050.22","208584.08","271824.96","23637.91","5862.79","942010.42","1430716.7","803658.1","6169.42","1059116.81","318303.51","145267.38","170572.55","20353202.25","","","","",
"1996","Annual","4133548.21","3462995.96","499962.45","82241.9","88347.9","8450310.2","","6832836.74","17535.35","","","","1599938.11","","","537177.87","5599481.04","2457403.59","37902.68","213741.06","291524.87","23949.01","6742.22","978712.5","1445024.44","832579.84","6391.44","1089767.77","327515.25","149471.43","196158.52","21177920.91","","","","",
"1997","Annual","4305679.63","3611905.26","512461.13","82982.17","98331.07","8561916.92","","6933580.95","18504.63","","","","1609831.34","","","571557.91","5855679.44","2494263.94","39040.02","220749.79","320193.4","24144.68","7753.54","1019113.26","1536907.47","861730.43","6615.22","1108613.92","333179.21","152056.35","225582.13","21789097.84","","","","",
"1998","Annual","4475241.38","3752769.63","526297.84","83977.89","112196.02","8515828.8","","7083987.57","19397.26","","","","1412443.97","","","605850.87","6166853.26","2569092.6","40289.13","229603.77","363181.39","23814.02","9304.23","1068611.69","1628648","904812.66","6945.95","1127460.07","338843.17","154641.27","270697.9","22332866.9","","","","",
"1999","Annual","4703643.68","3949415.21","541034.01","85070.09","128124.37","8031917.62","","6552688.51","20205.61","","","","1459023.5","","","628872.48","6451656.65","2633319.28","41698.94","238121.84","414810.81","24430.24","11165.06","1106336.87","1690330.88","944633.69","7251.64","1146306.22","344507.13","157226.19","324837.15","22449409.72","","","","",
"2000","Annual","4840971.2","4067897.64","553478.21","86346.14","133249.2","8808652.44","","7281943.86","21044.68","","","","1505663.91","","","654027.49","6709176.63","2675452.58","43241.69","246347.5","455906.8","25175.24","12058.26","1151591.52","1756078.06","985255.71","7563.48","1165152.37","350171.09","159811.1","350823.8","23688280.33","","","","",
"2001","Annual","5024542.11","4222477.41","570082.86","88072.9","143908.93","9351860.34","","7662979.86","22392.33","","","","1666488.14","","","732511.6","7416289.75","2742338.22","45187.82","257692.1","814982.89","107926.37","13264.1","1202819.32","1843817.31","1034522.14","7941.68","1183998.81","355834.04","162396.48","385906.69","25267542.02","","","","",
"2002","Annual","7817084.5","6977878.78","597498.38","88690.22","153017.1","9061670.24","","7225678.21","22178.82","","","","1813813.2","","","764328.51","8394517.68","2920109.32","48280.19","306998.99","946490.71","121837.05","15258.69","1556688.44","1899131.7","1101586.29","8456.51","1398328.26","383826.62","163696.81","443937.41","28957710.24","","","","",
"2003","Annual","8364832.1","7493024.2","622559.31","90021.5","159227.1","10893905.26","","8952615.17","23196.92","","","","1918093.17","","","831207.14","8531195.03","3088307.85","50518.09","310767.94","1075802.32","140964.63","15458.56","1396781.71","1956105.96","1150016.24","8828.29","1398328.26","410827.47","167043.13","449752.43","31709447.39","","","","",
"2004","Annual","8888573.4","7956655.07","663025.91","95873.02","173019.4","11418598.38","","9248051.63","27092.8","","","","2143453.96","","","774859.94","9718300.57","4220216.79","123333.68","465192.71","1450393.52","163646.34","17135.7","1442451.57","2168328.64","1189538.1","9131.69","1550036.28","455399.14","185166.04","498547.16","35020549.08","","","","",
"2005","Annual","9516991.54","8524146.88","707871.01","101546.8","183426.85","11674741.16","","9294051.43","29699.41","","","","2350990.31","","","868587","10624122.25","4790507.21","136217.44","495131.85","1765773.72","175225.36","18934.95","1491761.93","2408823.7","1252578.92","9615.63","1612037.73","503443.75","203682.65","550894.61","37474949.16","","","","",
"2006","Annual","10222474.98","9162650.26","756734.19","107658.07","195432.46","11481759.72","","8874699.94","32768.85","","","","2574290.94","","","981454.9","11788354.41","5521460.53","153803.64","529994.75","2213220.47","184996.26","20944.04","1573206.14","2690065.81","1336327.25","10258.54","1683796.99","557670.18","224723.07","609347.28","39995504.55","","","","",
"2007","Annual","10958469.13","9826769.09","809164.94","114249.34","208285.76","11332356.55","","8471948.32","36873.3","","","","2823534.93","","","1109313.11","13161455.03","6360814.1","173722.35","567508.51","2800414.19","195477.42","23168.73","1660355.89","3005424.89","1425797.48","10945.37","1758817.75","617776.19","247973.54","674072.73","42922407.93","","","","",
"2008","Annual","11645370.98","10437994.13","864188.16","121218.55","221970.14","11068224.99","","7947718.35","41469.03","","","","3079037.61","","","1254300.33","14792018.78","7252600.24","196202.04","607812.56","3575143.02","204585.9","25647.79","1749113.29","3359764.49","1521040.73","11676.53","1836909.25","684310.68","273614","746198.5","46012515.31","","","","",
"2009","Annual","12330325.55","11046155.59","920199.22","128313.12","235657.62","11353421.8","","7983627.96","46382.16","","","","3323411.68","","","1404496.02","16682413.42","8085442.3","219532.31","650212.48","4596652.8","213146.57","28185.15","1827969.52","3727341.54","1615164.11","12399.08","1918003.57","752791.76","300993.87","820020.66","49856099.08","","","","",
"2010","Q1","2594759.86","2262178.08","237297.51","30420.97","64863.3","2827621.25","","1937631.77","14581.31","","","","875408.17","","","401383.52","4568370.86","2191342.83","63135.76","144848.6","1448814.26","55286.1","7612.18","489146.92","888228.37","406164.44","3201.72","497144.68","205686.66","85595.8","273505.37","12583478.33","","","","",
"2010","Q2","2873377.57","2561460.05","216103.7","34382.27","61431.54","2874320.15","","1983894.97","9788.4","","","","880636.78","","","388550.3","4564086.31","2234196.34","52906.46","176507.24","1432940.41","51342.43","6026.04","480998.85","972279.83","425057.75","3423.14","479664.73","212773.67","81771.55","188394.2","12934530.67","","","","",
"2010","Q3","4000028.64","3660097.23","247970.43","33750.81","58210.17","2997064.58","","2092028.97","12889.15","","","","892146.45","","","369190.91","4707396.65","2230757.66","65717.17","177674.29","1489945.88","56275.52","7961.3","453038.03","1062695.86","438721.27","3313.74","471731.97","203304.79","79487.79","197529.04","14304438.44","","","","",
"2010","Q4","3580726.73","3200161.01","278192.42","37166.85","65206.46","3334189.94","","2389120.69","14618.94","","","","930450.31","","","411848.73","5126698.2","2336353.14","64001.19","195741.68","1583359.13","59360.46","9335.41","485621.32","1204784.14","441754.54","3201.53","549929.49","204906.5","84108.52","240594.26","14789816.74","","","","",
"2010","Annual","13048892.8","11683896.37","979564.05","135720.9","249711.48","12033195.91","","8402676.4","51877.8","","","","3578641.72","","","1570973.47","18966552.02","8992649.98","245760.58","694771.81","5955059.67","222264.52","30934.93","1908805.12","4127988.21","1711698.01","13140.14","1998470.88","826671.62","330963.66","900022.87","54612264.18","","","","",
"2011","Q1","2653864.07","2312358.57","240585.31","30163.56","70756.63","3381469.36","","2406675.9","16462.91","","","","958330.55","","","423202.98","4656034.41","2336145.86","64460.43","153360.44","1420186.81","73607.44","18340.47","342267.5","902313.79","464330.2","3432.18","596118.32","237238.12","98084.34","282294.36","13450716.68","","","","",
"2011","Q2","2955290.83","2624438.47","224920.03","37660.06","68272.26","3240824.02","","2193573.11","12082.11","","","","1035168.8","","","396928.67","4775193.57","2389494.93","53171.07","182376.92","1522289.5","70930.17","20461.95","368764.79","984564.08","481390.54","3412.17","559717.83","226861.99","99745.69","201506.86","13757732.02","","","","",
"2011","Q3","4130570.31","3783265.06","249857.97","35774.21","61673.07","3128904.77","","2022201.71","14444.87","","","","1092258.19","","","409798.04","4755954.07","2394392.07","70603.03","192578.27","1417250.38","72102.9","18835.24","330113.29","1043020.9","517328.41","3520.64","537210.36","269737.11","86720.23","196933.3","14819619.26","","","","",
"2011","Q4","3689653.56","3297129.9","284040.72","38861.55","69621.39","3123048.05","","1976185.9","16428.39","","","","1130433.75","","","587900.13","5561500.37","2520871.7","80182.55","207927.61","1723319.96","77905.47","19176.87","353551.02","1215967.3","568416.54","3459.99","614330.87","353832.94","89565.29","253863.95","15482973.81","","","","",
"2011","Annual","13429378.77","12017192","999404.04","142459.38","270323.35","12874246.2","","8598636.62","59418.27","","","","4216191.3","","","1817829.82","19748682.42","9640904.56","268417.08","736243.25","6083046.66","294545.98","76814.53","1394696.6","4145866.08","2031465.7","13824.97","2307377.38","1087670.16","374115.55","934598.47","57511041.77","","","","",
"2012","Q1","2805803.39","2463380.44","235759.75","31434.46","75228.74","3404226.64","","2207300.05","17829.79","","","","1179096.8","","","464059.99","4869332.09","2372083.93","76807.83","149024.86","1483622.25","88340.29","24923.55","438293.51","939107.77","501458.55","3061.4","431896.37","242685.15","102502.24","387608.31","13915506.03","","","","",
"2012","Q2","3160094.68","2824154.48","224072.83","38095.64","73771.73","3154458.06","","1970219.52","15185.84","","","","1169052.7","","","554283.67","5024468.61","2429742.75","58600.19","177251.18","1609897.36","88916.35","26306.68","444546.74","1029071.99","503704.68","3441.42","463256.22","231093.41","102053.56","286328.83","14323047.77","","","","",
"2012","Q3","4307966.75","3972238.15","234399.16","36461.52","64867.91","3484527.24","","2221019.12","17647.89","","","","1245860.23","","","457864.51","4941870.43","2453205.81","82625.51","185063.41","1442732.35","74482.89","22658","392159.17","1109844.94","569870.54","3479.06","436982.67","274599.25","90303","257069.65","15645434.73","","","","",
"2012","Q4","4055840.8","3659768.98","278531.05","40102.45","77438.32","2984833.58","","1774717.14","20466.75","","","","1189649.69","","","513256.12","5893327.68","2598646.32","92916.85","199736.8","1732261.46","81202.61","23945.81","412906.48","1301912.11","615038.76","3388.51","506597.16","357518.59","95441.94","470460.61","16045904.51","","","","",
"2012","Annual","14329705.62","12919542.05","972762.79","146094.08","291306.71","13028045.51","","8173255.83","71130.26","","","","4783659.43","","","1989464.28","20728998.81","9853678.82","310950.38","711076.24","6268513.42","332942.13","97834.04","1687905.91","4379936.8","2190072.53","13370.39","1838732.42","1105896.41","390300.73","1401467.4","59929893.04","","","","",
"2013","Q1","2874849.13","2507232.25","250838.12","34442.65","82336.1","3404315.32","","1955768.08","20119.26","","","","1428427.98","","","532140.14","5203908.63","2520207.73","126761.51","155641.63","1574537","92051.01","28442.12","475570.7","1020105.42","508248.49","3191.9","416464.61","286849.47","106630.62","409414.16","14535420.95","","","","",
"2013","Q2","3241176.38","2881454.5","239583.8","39180.93","80957.15","3098769.25","","1646663.33","18317.27","","","","1433788.65","","","628357.7","5562943.66","2565516.56","101612.25","183608.5","1758522.3","104324.39","30386.54","483741.43","1192288.4","519518.35","3540.83","464786.77","256102.3","112143.93","352367.67","15096763.55","","","","",
"2013","Q3","4456105.79","4102292.59","246415.76","37627.97","69769.48","3396568.9","","1894182.98","20469.17","","","","1481916.75","","","520965.66","5462040.4","2618691.7","143858.05","191703.98","1545840.23","95187.6","26073.82","429154.41","1258413.46","590171.67","3481.18","436428.95","334794.64","102439.69","304492.71","16454372.46","","","","",
"2013","Q4","4178391.91","3756822.46","294099.65","43062.62","84407.18","3114856.5","","1608669","23962.42","","","","1482225.07","","","590913.19","6444519.89","2803483.29","168395.59","207124.41","1904170.82","104014.89","27542.4","445178.96","1433829.7","647171.67","3506.3","511162.12","400667.59","106503.21","485252.22","17132164.77","","","","",
"2013","Annual","14750523.21","13247801.8","1030937.33","154314.17","317469.91","13014509.97","","7105283.4","82868.12","","","","5826358.45","","","2272376.69","22673412.58","10507899.27","540627.4","738078.52","6783070.36","395577.89","112444.89","1833645.51","4904636.97","2265110.18","13720.21","1828842.45","1278414","427717.45","1551526.76","63218721.73","","","","",
"2014","Q1","3033970.43","2643112.08","264914.5","36690.27","89253.58","3498208.5","","1826669.19","22964.51","","","","1648574.8","","","627286.61","5600699.25","2678514.71","156260.98","160209.7","1681208.55","97974.02","32845.83","517768.24","1052424.81","538008.85","3143.87","445394.81","307200.39","109003.56","499255.62","15438679.5","","","","",
"2014","Q2","3360450.48","2983925.41","250455.28","41157.44","84912.35","3388257.26","","1731376.95","22154.73","","","","1634725.59","","","695565.83","5942590.82","2697757.92","125856.14","190842.65","1898288.88","91177.78","34477.55","517580.8","1251295.43","553519.56","3539.64","470243.2","274896.23","119839.61","411033.35","16084622.31","","","","",
"2014","Q3","4655322.16","4281853.83","260494.8","38517.44","74456.09","3567951.88","","1826084.54","22882.04","","","","1718985.3","","","579913.75","5879040.78","2796899","169952.78","199759.88","1674174.08","82902.73","30021.29","465888.23","1332694.08","631097.03","3664.11","441966.97","364179.4","119124.53","363615.66","17479127.58","","","","",
"2014","Q4","4330646.27","3884558.69","310982.42","44973.05","90132.11","3336829.72","","1627684.09","27213.58","","","","1681932.05","","","665698.56","6864557.92","2952623.98","187644.82","219878.67","2003390.52","110386.78","31838","481432.47","1519313.63","667812.67","3634.86","517338.18","445677.35","124665.96","551544","18150356.45","","","","",
"2014","Annual","15380389.34","13793450.01","1086847","161338.2","338754.12","13791247.37","","7011814.77","95214.87","","","","6684217.74","","","2568464.75","24286888.77","11125795.61","639714.73","770690.9","7257062.04","382441.31","129182.67","1982669.74","5155727.95","2390438.12","13982.48","1874943.17","1391953.38","472633.66","1825448.63","67152785.84","","","","",
"2015","Q1","3176598.14","2760875","281970.83","38280.21","95472.09","3340475.57","","1677854.7","25553.8","","","","1637067.07","","","697366.62","5984386.64","2851774.41","197924.16","166402.04","1840802.04","78894.39","38819.76","564395.05","1084792.83","575222.37","3314.17","389597.47","328505.92","111298.27","604418.18","16050601.38","","","","",
"2015","Q2","3477845.23","3079446.84","265986.95","42806.15","89605.3","3209814.93","","1613750.3","23726.41","","","","1572338.22","","","740204.22","6200866.08","2834611.45","114567.09","200076.32","2017153.68","86681.89","36648.33","550734.35","1288487.69","586851.81","3646.64","420192.52","294867.7","122704.93","478253.13","16463341.91","","","","",
"2015","Q3","4816519.15","4423689.09","274832.39","39379.63","78618.04","3558756.91","","1845393.61","24489.74","","","","1688873.56","","","579297.92","6101561.96","2920098.66","160745.42","209454.24","1762350.06","87336.78","31940.77","496473.91","1360104.16","665076.1","3767.89","385492.87","393442.8","122098.45","423278.51","17976234.59","","","","",
"2015","Q4","4481257.62","4010925.81","328533.22","46792.41","95006.18","3210078.78","","1492965.14","28773.86","","","","1688339.78","","","663347.24","7087965.28","3091103.14","180978.65","229523.14","2087808.06","114401.69","33920.39","512293.52","1531311.21","688923.69","3745.27","449499.92","481890.66","128234.85","645434.23","18533752.07","","","","",
"2015","Annual","15952220.14","14274936.74","1151323.39","167258.41","358701.61","13319126.19","","6629963.75","102543.81","","","","6586618.64","","","2680216","25374779.95","11697587.66","654215.32","805455.74","7708113.83","367314.74","141329.25","2123896.82","5264695.89","2516073.97","14473.98","1644782.79","1498707.07","484336.5","2151384.05","69023929.94","","","","",
"2016","Q1","3274725.01","2844122.16","292862.48","39164.9","98575.47","3126387.54","","1597161.5","6738","","","","1522488.04","","","659950.18","5973387.93","2909263.86","183250.31","190912.72","1915707.67","55205.04","42082.96","500721.38","1033869.15","569883.03","3285.16","372471.2","341069.1","111906.83","653023.38","15943714.54","","","","",
"2016","Q2","3635533.13","3224828.52","282785.95","44448.45","83470.22","2969885.29","","1426084.54","24352.72","","","","1519448.03","","","693744.65","6085747.17","2833632.17","107242.41","189398.68","2044476.85","82806.37","37307.67","491158.49","1220527.28","593105.1","3498.66","394453.72","303373.68","119462.76","498935.49","16218542.41","","","","",
"2016","Q3","5035069.06","4639609.64","276910.05","40197.38","78352","3061249.14","","1420267.99","26086.5","","","","1614894.65","","","543808.12","6035650.62","2879664.75","152906.74","210972.66","1781886.93","85432.68","32575.31","509600.33","1259867.76","674359.27","3768.26","371731.33","393011.56","119281.89","440255.9","17555441.69","","","","",
"2016","Q4","4662010.12","4185887.5","332559.97","47831.92","95730.73","2904527.23","","1228692.98","30432.52","","","","1645401.73","","","623349.23","6977150.1","3046500.61","176019.77","217313.23","2116626.83","111801.06","34614.02","526032.1","1389340.45","698944.63","3822.66","430861.5","481478.75","125038.53","665256.58","18213537.29","","","","",
"2016","Annual","16607337.33","14894447.82","1185118.44","171642.65","356128.42","12062049.2","","5672207.01","87609.74","","","","6302232.45","","","2520852.18","25071935.82","11669061.39","619419.23","808597.29","7858698.29","335245.15","146579.96","2027512.3","4903604.64","2536292.03","14374.75","1569517.75","1518933.09","475690","2257471.35","67931235.93","","","","",
"2017","Q1","3385600.83","2943533.29","297903.42","40177.39","103986.72","2900034.62","","1347988.99","8858.15","","","","1543187.49","","","660920.64","6031847.57","2819562.17","175995.55","211047.14","1968087.82","56502.08","46992.61","504071.68","1001774.13","578299.17","3325.31","364765.95","344006.91","113100.03","663879.18","15797965.83","","","","",
"2017","Q2","3745091.59","3328488.1","289226.7","46178.84","81197.95","3030477.11","","1476395.35","24909.06","","","","1529172.7","","","694618.72","6076676.8","2787855.05","102896.77","177693.89","2020909.34","102660.2","37077.21","542506.43","1177497.33","582917.52","3442.17","400889.27","299293.86","118310.52","510582.27","16334719.27","","","","",
"2017","Q3","5189365.99","4787569","283888.28","41785.42","76123.29","3342592.69","","1747410.92","26327.08","","","","1568854.7","","","541311.33","5857352.47","2829605.68","153179.88","197780.18","1702138.41","92128.79","32719.53","479208.91","1207994.54","665057.94","3793.78","369042.18","388210.65","118263.47","447834.2","17760228.17","","","","",
"2017","Q4","4859436.87","4377459.3","333186.85","49185.32","99605.4","3041572.37","","1366252.43","27638.03","","","","1647681.91","","","649140.64","6938494.45","3109422.75","177393.46","253325.52","2085761.4","126320.85","35840.55","527214.81","1307125.27","703400.56","3905.23","428922.14","476471.37","124563.23","688250.06","18598067.07","","","","",
"2017","Annual","17179495.29","15437049.7","1204205.25","177326.97","360913.36","12314676.8","","5938047.69","87732.32","","","","6288896.8","","","2545991.32","24904371.28","11546445.65","609465.66","839846.73","7776896.97","377611.93","152629.9","2053001.84","4694391.27","2529675.19","14466.5","1563619.55","1507982.79","474237.26","2310545.71","68490980.34","","","","",
"2018","Q1","3487312.92","3045163.11","292386.84","41360.26","108402.7","3143788.96","","1537038.44","11186.87","","","","1595563.65","","","650767.19","6067614.53","2747170.57","176498.35","241534.71","1999209.11","61027.25","47132.89","571134.17","907593.68","564694.65","3307.92","358496.2","345537.77","112685.85","678761.98","16096654.19","","","","",
"2018","Q2","3789720.12","3378030.03","283577.69","48008.51","80103.89","2983260.53","","1418073.13","25620.64","","","","1539566.75","","","747860.3","6331541.15","2728125.96","105401.85","216351.5","2259564.73","111806.01","38366.32","549432.74","1131763.57","594967.3","3324.81","380006.76","297293.69","118790","524471.89","16580508.07","","","","",
"2018","Q3","5288339.21","4877078.38","291160.54","43341.1","76759.2","3322920.76","","1696606.69","27270.56","","","","1599043.51","","","544228.74","6068482.62","2857370.77","157259.25","221416.44","1907885.53","104510.68","33646.2","456182.57","1175656.69","677860.5","3870.51","365540.65","386568.22","117455.89","460629.46","18081342.1","","","","",
"2018","Q4","4978775.48","4486166.16","341002.97","50038.06","101568.29","3063097.13","","1344156.8","32523.95","","","","1686416.37","","","662431.53","7196009.75","3141123.7","181031.2","277338.67","2360999.95","127728.46","37338.61","517927.07","1256847.82","706613.23","3937.63","427538.21","478161.4","123769.86","696777.64","19041437.59","","","","",
"2018","Annual","17544147.74","15786437.68","1208128.04","182747.93","366834.08","12513067.38","","5995875.07","96602.02","","","","6420590.28","","","2605287.77","25663648.06","11473791","620190.65","956641.32","8527659.33","405072.4","156484.02","2094676.55","4471861.75","2544135.68","14440.88","1531581.82","1507561.07","472701.6","2360640.98","69799941.95","","","","",
"2019","Q1","3597916.08","3144587.69","294971.65","42265.37","116091.37","3135524.31","","1514641.29","12421.19","","","","1608461.83","","","671448.37","6259209.21","2770454.69","183831.29","288637","2188810.43","64825.41","50489.39","527749.58","916064.55","574481.8","3355.32","307550.32","346165.27","112506.18","694742.66","16434552.65","","","","",
"2019","Q2","3857705.59","3443607.45","283559.35","49559.78","80979.01","3082294.97","","1519802.94","24969.86","","","","1537522.17","","","752833.66","6517283.97","2721316.7","108482.91","233705.81","2463113.02","117091.44","38677.98","537150.37","1088267.52","602156.45","3392.34","367112.43","300161.48","120126.87","537845.35","16931434.89","","","","",
"2019","Q3","5408978.92","4994729.88","291218.38","44980.39","78050.27","3447096.58","","1806746.96","23764.98","","","","1616584.64","","","557147.53","6265003.41","2815887.74","160848.58","261809.92","2096318.89","94995.15","34619.58","461049.43","1148470.43","660127.24","3988.47","367755.38","391169.57","118468.79","465381.99","18494114.17","","","","",
